influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start,influencer_count,Same,total_people
25462,Tricky,Electronic,1990,335,PJ Harvey,Pop/Rock,1990,12,False,44
378288,Massive Attack,Electronic,1980,335,PJ Harvey,Pop/Rock,1990,32,False,44
66915,Bob Dylan,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990,389,True,967
71209,Leonard Cohen,Pop/Rock,1950,335,PJ Harvey,Pop/Rock,1990,64,True,967
91438,The Gun Club,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,9,True,967
113823,Chrissie Hynde,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,6,True,967
132710,Crime & the City Solution,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,3,True,967
208582,Lesley Gore,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990,8,True,967
397880,Nick Cave,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,22,True,967
489999,The Raincoats,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,10,True,967
492331,Pretenders,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,34,True,967
615119,Tom Waits,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,48,True,967
651107,Marianne Faithfull,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990,13,True,967
747445,Patti Smith,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,45,True,967
755156,Sonic Youth,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,71,True,967
838272,Pere Ubu,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,26,True,967
895136,Pixies,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,72,True,967
899530,The Smiths,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,83,True,967
960690,X,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,30,True,967
988638,Captain Beefheart,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990,34,True,967
75264,Bad Brains,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990,36,True,592
91650,Black Flag,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990,93,True,592
112789,Korn,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,37,True,592
134729,Faith No More,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,37,True,592
295756,Santana,Pop/Rock,1960,441,P.O.D.,Pop/Rock,1990,32,True,592
359326,Primus,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,17,True,592
446509,Metallica,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,112,True,592
485135,311,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,16,True,592
579839,Suicidal Tendencies,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,23,True,592
741746,Sepultura,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,21,True,592
789064,Extreme,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,3,True,592
790820,Tool,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,25,True,592
796045,Fishbone,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990,22,True,592
806829,Jane's Addiction,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,40,True,592
825087,Living Colour,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,10,True,592
863790,Rage Against the Machine,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,29,True,592
883318,Red Hot Chili Peppers,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,39,True,592
175775,Eek-A-Mouse,Reggae,1980,441,P.O.D.,Pop/Rock,1990,10,False,10
5953,Alice Cooper,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,68,True,2629
59537,Blue Cheer,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,28,True,2629
61938,Blue 脙鈥搚ster Cult,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,22,True,2629
75264,Bad Brains,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,36,True,2629
81493,Killing Joke,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,23,True,2629
84209,Kiss,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,89,True,2629
91650,Black Flag,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,93,True,2629
130932,Crazy Horse,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,15,True,2629
139026,Led Zeppelin,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,221,True,2629
182598,MC5,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,64,True,2629
200968,Gene Simmons,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,9,True,2629
349157,Melvins,Pop/Rock,1980,1098,Soundgarden,Pop/Rock,1980,27,True,2629
354105,Jimi Hendrix,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,201,True,2629
379125,Neil Young,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,148,True,2629
446509,Metallica,Pop/Rock,1980,1098,Soundgarden,Pop/Rock,1980,112,True,2629
485791,Wipers,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,12,True,2629
490004,Ramones,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,127,True,2629
503913,Mountain,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,18,True,2629
562304,The Stooges,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,116,True,2629
574772,AC/DC,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,65,True,2629
604852,Aerosmith,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,67,True,2629
623985,Budgie,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,8,True,2629
754032,The Beatles,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,615,True,2629
755156,Sonic Youth,Pop/Rock,1980,1098,Soundgarden,Pop/Rock,1980,71,True,2629
771438,Black Sabbath,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,171,True,2629
772567,Iron Butterfly,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,22,True,2629
840402,The Velvet Underground,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,181,True,2629
12654,Spinal Tap,Comedy/Spoken,1980,1098,Soundgarden,Pop/Rock,1980,10,False,81
187581,Funkadelic,R&B;,1960,1098,Soundgarden,Pop/Rock,1980,44,False,81
390390,Ohio Players,R&B;,1950,1098,Soundgarden,Pop/Rock,1980,27,False,81
8828,Spice Girls,Pop/Rock,1990,1113,t.A.T.u.,Pop/Rock,2000,22,True,74
81403,Boney M.,Pop/Rock,1970,1113,t.A.T.u.,Pop/Rock,2000,6,True,74
546214,Gwen Stefani,Pop/Rock,1980,1113,t.A.T.u.,Pop/Rock,2000,17,True,74
628467,Britney Spears,Pop/Rock,1990,1113,t.A.T.u.,Pop/Rock,2000,29,True,74
13384,Tanya Tucker,Country,1970,1433,Pam Tillis,Country,1980,19,True,253
19241,Patty Loveless,Country,1970,1433,Pam Tillis,Country,1980,18,True,253
65397,Bobbie Gentry,Country,1960,1433,Pam Tillis,Country,1980,11,True,253
86312,The Judds,Country,1980,1433,Pam Tillis,Country,1980,17,True,253
99753,Connie Smith,Country,1960,1433,Pam Tillis,Country,1980,7,True,253
136640,Tammy Wynette,Country,1960,1433,Pam Tillis,Country,1980,32,True,253
175286,Dolly Parton,Country,1950,1433,Pam Tillis,Country,1980,49,True,253
210512,Janie Fricke,Country,1970,1433,Pam Tillis,Country,1980,5,True,253
234325,Loretta Lynn,Country,1960,1433,Pam Tillis,Country,1980,47,True,253
409954,Ray Price,Country,1940,1433,Pam Tillis,Country,1980,30,True,253
749175,Skeeter Davis,Country,1950,1433,Pam Tillis,Country,1980,7,True,253
804289,Lynn Anderson,Country,1960,1433,Pam Tillis,Country,1980,11,True,253
50493,Soulfly,Pop/Rock,1990,1498,All That Remains,Pop/Rock,1990,4,True,59
96977,In Flames,Pop/Rock,1990,1498,All That Remains,Pop/Rock,1990,7,True,59
97325,Biohazard,Pop/Rock,1980,1498,All That Remains,Pop/Rock,1990,13,True,59
219966,Vision of Disorder,Pop/Rock,1990,1498,All That Remains,Pop/Rock,1990,9,True,59
561105,Hatebreed,Pop/Rock,1990,1498,All That Remains,Pop/Rock,1990,14,True,59
607053,At the Gates,Pop/Rock,1990,1498,All That Remains,Pop/Rock,1990,12,True,59
559405,Daddy Yankee,Latin,1990,1611,Speedy,Electronic,2000,1,False,1
156886,Spyro Gyra,Jazz,1970,2252,Allan Holdsworth,Pop/Rock,1970,8,False,8
112017,Jo Stafford,Vocal,1930,2273,Allan Sherman,Comedy/Spoken,1960,12,False,13
588679,Theodore Bikel,Folk,1950,2273,Allan Sherman,Comedy/Spoken,1960,1,False,13
203804,Victor Borge,Comedy/Spoken,1950,2273,Allan Sherman,Comedy/Spoken,1960,1,True,21
744548,Spike Jones,Comedy/Spoken,1930,2273,Allan Sherman,Comedy/Spoken,1960,20,True,21
38936,Simon & Garfunkel,Pop/Rock,1950,2330,Sergio Mendes,Easy Listening,1960,46,False,1064
41874,The Beach Boys,Pop/Rock,1960,2330,Sergio Mendes,Easy Listening,1960,186,False,1064
639397,Caetano Veloso,Latin,1960,2330,Sergio Mendes,Easy Listening,1960,13,False,1064
642542,Burt Bacharach,Pop/Rock,1950,2330,Sergio Mendes,Easy Listening,1960,63,False,1064
754032,The Beatles,Pop/Rock,1960,2330,Sergio Mendes,Easy Listening,1960,615,False,1064
765585,Baden Powell,Latin,1960,2330,Sergio Mendes,Easy Listening,1960,5,False,1064
781837,Ant脙麓nio Carlos Jobim,Latin,1950,2330,Sergio Mendes,Easy Listening,1960,34,False,1064
785283,Jo脙拢o Gilberto,International,1950,2330,Sergio Mendes,Easy Listening,1960,27,False,1064
792507,Frank Sinatra,Vocal,1930,2330,Sergio Mendes,Easy Listening,1960,71,False,1064
798543,Ed脙潞 Lobo,Latin,1960,2330,Sergio Mendes,Easy Listening,1960,4,False,1064
249175,Les Baxter,Easy Listening,1940,2330,Sergio Mendes,Easy Listening,1960,8,True,8
183867,John Cage,Classical,1930,2411,Tangerine Dream,Electronic,1960,34,False,1271
346336,Pink Floyd,Pop/Rock,1960,2411,Tangerine Dream,Electronic,1960,142,False,1271
354105,Jimi Hendrix,Pop/Rock,1960,2411,Tangerine Dream,Electronic,1960,201,False,1271
423829,Miles Davis,Jazz,1940,2411,Tangerine Dream,Electronic,1960,160,False,1271
750519,Terry Riley,Avant-Garde,1960,2411,Tangerine Dream,Electronic,1960,34,False,1271
754032,The Beatles,Pop/Rock,1960,2411,Tangerine Dream,Electronic,1960,615,False,1271
840102,Jefferson Airplane,Pop/Rock,1960,2411,Tangerine Dream,Electronic,1960,25,False,1271
988440,Grateful Dead,Pop/Rock,1960,2411,Tangerine Dream,Electronic,1960,60,False,1271
18977,Barry Manilow,Pop/Rock,1970,3170,Pablo Cruise,Pop/Rock,1970,14,True,44
19297,America,Pop/Rock,1970,3170,Pablo Cruise,Pop/Rock,1970,16,True,44
297894,Poco,Pop/Rock,1960,3170,Pablo Cruise,Pop/Rock,1970,14,True,44
101895,Joe,R&B;,1990,3426,Tank,R&B;,2000,2,True,40
319347,R. Kelly,R&B;,1990,3426,Tank,R&B;,2000,38,True,40
239859,Leonard Bernstein,Classical,1940,3595,Andrew Lloyd Webber,Stage & Screen,1960,7,False,625
649950,George Martin,Pop/Rock,1950,3595,Andrew Lloyd Webber,Stage & Screen,1960,3,False,625
754032,The Beatles,Pop/Rock,1960,3595,Andrew Lloyd Webber,Stage & Screen,1960,615,False,625
304458,Jule Styne,Stage & Screen,1930,3595,Andrew Lloyd Webber,Stage & Screen,1960,2,True,6
691807,Stephen Sondheim,Stage & Screen,1950,3595,Andrew Lloyd Webber,Stage & Screen,1960,4,True,6
178014,U-Roy,Reggae,1960,3627,Pato Banton,Reggae,1980,24,True,156
246768,Derrick Morgan,Reggae,1950,3627,Pato Banton,Reggae,1980,10,True,156
295276,Jimmy Cliff,Reggae,1960,3627,Pato Banton,Reggae,1980,35,True,156
603590,Aswad,Reggae,1970,3627,Pato Banton,Reggae,1980,15,True,156
745584,Steel Pulse,Reggae,1970,3627,Pato Banton,Reggae,1980,13,True,156
