start,end,score
74,759491,0.0004418097717685539
589,151290,0.0004418097717685539
589,286662,0.0004418097717685539
589,748421,0.00044180977176855394
1589,1528006,0.00011474934019129389
2578,133969,0.0004418097717685539
2750,7689,5.078410890472555e-05
2750,160690,3.019595664605303e-05
2750,208774,8.098006555077858e-05
2750,262255,5.764682632428306e-05
2750,319347,5.2156652388637056e-05
2750,376204,4.666647845299105e-05
2750,802302,5.078410890472555e-05
2750,820434,6.176445677601756e-05
2867,112462,3.542263368364617e-05
2867,139026,8.6026396088855e-05
2867,187478,1.7905946697227737e-05
2867,192382,3.6979672526883365e-05
2867,240865,1.751668698641844e-05
2867,255371,1.1677791324278958e-06
2867,354105,7.824120187266902e-05
2867,489303,4.087226963497635e-05
2867,831381,3.503337397283688e-06
2867,894465,0.00012417384774816628
2867,176936,0.00012417384774816628
2867,824599,0.00012417384774816628
3226,517607,2.4890691367242475e-05
3226,583618,0.00020534820377975043
3226,626463,0.00014312147536164424
3226,859509,6.844940125991681e-05
4358,178014,0.00042916688712910865
4458,42234,0.00013314560746975187
4553,536122,0.00013314560746975187
4955,100160,0.0002487609272127928
4955,577627,0.0001930488445557611
6568,21334,0.00015211011315819227
6568,816701,0.0002535168552636538
6568,825168,2.5351685526365378e-05
6860,197424,6.228761652974926e-05
6860,311680,0.00017129094545681047
6860,617613,6.228761652974926e-05
6860,619388,1.5571904132437315e-05
7031,245039,0.00012869087794617102
7031,389979,0.00023398341444758367
7031,778568,5.849585361189592e-05
7974,334740,0.0004211701460056506
8570,39013,3.499483340741021e-05
8570,305363,4.374354175926277e-05
8570,563834,3.499483340741021e-05
8570,579839,0.00010061014604630436
8570,690456,1.7497416703705106e-05
8570,781766,2.6246125055557658e-05
8570,808944,0.00011373320857408319
8570,855836,6.998966681482043e-05
8591,178906,3.3179389974713534e-05
8591,219203,0.00014144897831325245
8591,572737,3.6671957340472855e-05
8591,583618,5.762736153502877e-05
8591,798606,7.334391468094571e-05
8591,803026,6.985134731518639e-06
8591,808944,4.540337575487115e-05
8591,855836,2.7940538926074557e-05
8591,859509,1.920912051167626e-05
9437,1433,3.3571533377262e-05
9437,133057,2.136370305825764e-05
9437,161808,6.103915159502182e-05
9437,162269,5.188327885576855e-05
9437,162487,5.798719401527073e-05
9437,227088,1.831174547850655e-05
9437,286115,3.967544853676419e-05
9437,340446,3.0519575797510914e-06
9437,368112,4.883132127601746e-05
9437,495861,9.155872739253275e-06
9437,749476,3.66234909570131e-05
9437,750131,1.2207830319004365e-05
9437,858375,2.746761821775982e-05
9437,270491,2.746761821775982e-05
9437,834108,2.746761821775982e-05
9490,100160,0.00010683561231682916
9490,393345,1.3354451539603645e-05
9490,564333,1.5023757982054101e-05
9490,577627,8.290888664170596e-05
9490,894465,0.00017750291838056513
9490,899530,4.618414490779594e-05
9787,7731,9.400207909969233e-06
9787,7920,8.272182960772926e-05
9787,88180,2.8200623729907696e-05
9787,112789,6.956153853377233e-05
9787,134729,6.956153853377233e-05
9787,543595,2.4440540565920005e-05
9787,572737,3.9480873221870776e-05
9787,750742,1.5040332655950773e-05
9787,782768,4.136091480386463e-05
9787,813946,6.204137220579693e-05
9970,167320,7.270287383533166e-05
9970,178122,2.2370115026255896e-05
9970,813946,0.00018455344896661113
9970,863790,0.00016218333394035526
11052,15318,2.41531266526538e-05
11052,81561,3.1700978731608106e-05
11052,207127,1.6605274573699485e-05
11052,214162,4.377754205793501e-05
11052,251375,2.41531266526538e-05
11052,300749,3.019140831581725e-06
11052,396676,5.283496455268018e-05
11052,522768,2.1133985821072075e-05
11052,605375,4.075840122635329e-05
11052,792370,3.4720119563189833e-05
11052,798248,5.736367580005277e-05
11052,944084,7.094980954217052e-05
11210,18258,0.00043097865394821144
11506,740833,0.00044180977176855394
11608,44994,1.7954610744039067e-05
11608,129547,3.890165661208465e-05
11608,369270,5.386383223211721e-05
11608,611102,4.4886526860097674e-05
11608,617844,0.00010772766446423441
11608,942529,0.00011969740496026046
11608,205180,0.00011969740496026046
11608,313284,0.00011969740496026046
11608,354105,0.00011969740496026046
11608,625739,0.00011969740496026046
11664,112789,0.00044180977176855394
12570,178014,0.00033225823519672927
12570,573978,9.690865193237937e-05
12595,152023,0.00011781593913828104
12595,184043,0.00032399383263027285
12972,34899,4.9021888684444264e-06
12972,51376,1.8995981865222154e-05
12972,132710,1.8383208256666597e-06
12972,167287,9.191604128333299e-06
12972,219483,2.1447076299444366e-05
12972,290812,5.147298311866648e-05
12972,364399,1.7157661039555493e-05
12972,531986,0.00014584011883622168
12972,617196,8.27244371549997e-05
12972,838272,1.5932113822444386e-05
12972,842802,2.6962038776444346e-05
12972,895136,4.411969981599984e-05
12972,990384,1.2255472171111066e-06
12972,187581,1.2255472171111066e-06
12972,809357,1.2255472171111066e-06
13038,71970,1.2255472171111066e-06
13038,90389,1.7497561122868248e-05
13038,673114,8.748780561434124e-05
13038,781172,0.00034995122245736496
13101,2411,0.00034995122245736496
13101,138699,0.00034995122245736496
13101,147638,0.00034995122245736496
13101,186927,0.00034995122245736496
13101,300245,0.00034995122245736496
13101,617196,0.00034995122245736496
13101,840000,0.00034995122245736496
13101,81017,4.6992567342265364e-05
13101,675495,7.048885101339805e-05
13101,826364,1.5664189114088455e-05
13583,10412,3.999923859632999e-06
13583,21744,4.363553301417817e-06
13583,31685,1.8181472089240903e-05
13583,66915,0.00014145185285429422
13583,103484,3.636294417848181e-06
13583,130689,1.2363401020683815e-05
13583,209142,4.727182743202635e-06
13583,379125,5.381715738415307e-05
13583,600069,3.636294417848181e-07
13583,631774,5.7453451802001254e-05
13583,740833,3.636294417848181e-06
13583,848034,3.2726649760633628e-06
13583,894465,0.00011599779192935697
13583,987491,1.854510153102572e-05
13583,774588,1.854510153102572e-05
13755,31274,1.8537472941337926e-05
13755,199995,0.00011431441647158388
13755,253861,3.0895788235563215e-06
13755,300245,2.780620941200689e-05
13755,404434,9.268736470668964e-05
13755,685647,0.0001328518894129218
13755,798992,5.252284000045746e-05
14329,32071,0.00024998750062496874
14699,5882,0.00011661150109876331
14699,44764,0.00010182976152286373
14699,75747,0.0002233685091469269
14757,3595,0.0002233685091469269
14757,5953,0.0002233685091469269
14757,31274,0.0002233685091469269
14757,76057,0.0002233685091469269
14757,79960,0.0002233685091469269
14757,81017,0.0002233685091469269
14757,84209,0.0002233685091469269
14757,139026,0.0002233685091469269
14757,150048,0.0002233685091469269
14757,199995,0.0002233685091469269
14757,203008,0.0002233685091469269
14757,246611,0.0002233685091469269
14757,303626,0.0002233685091469269
14757,346336,0.0002233685091469269
14757,424244,0.0002233685091469269
14757,446509,0.0002233685091469269
14757,675495,0.0002233685091469269
14757,685647,0.0002233685091469269
14757,798992,0.0002233685091469269
14757,825924,0.0002233685091469269
14757,887619,0.0002233685091469269
14822,78741,4.248170882389941e-06
14822,128440,3.964959490230612e-05
14822,128495,2.6905082255136297e-05
14822,170369,5.522622147106925e-05
14822,182900,6.655467715744242e-05
14822,325459,0.000120364841667715
14822,745964,7.50510189222223e-05
14822,758453,1.982479745115306e-05
14822,891264,5.664227843186589e-06
14822,923033,2.8321139215932946e-05
14931,16281,2.8321139215932946e-05
14931,58549,2.8321139215932946e-05
14931,133969,2.8321139215932946e-05
14931,165011,0.00022985528210571276
14931,279337,0.00020112337184249868
14959,112462,0.00044180977176855394
15405,14073,5.890796956914053e-05
15405,484145,0.0003829018021994134
15856,78044,3.038952047070722e-05
15856,238115,0.00011787450364395527
15856,316834,0.00015563118059240967
15856,622805,0.00012708344924113927
16227,43714,0.00012708344924113927
16235,38466,0.00012708344924113927
16925,172350,0.00020070731876231226
16925,793227,0.00025422927043226216
17021,12654,0.00025422927043226216
17021,106298,0.00025422927043226216
17021,61938,1.5830317555225062e-05
17021,98465,4.964963233229678e-05
17021,138699,4.533227299905358e-05
17021,199995,2.6623715888333056e-05
17021,203008,2.3745476332837588e-05
17021,246611,5.2527871887792243e-05
17021,263937,1.2952077999729594e-05
17021,540883,2.230635655508986e-05
17021,574772,4.6771392776801314e-05
17021,771438,0.00012304474099743114
17021,817754,7.195598888738664e-06
17021,845775,1.4391197777477327e-06
17021,864209,1.4391197777477328e-05
17882,857203,0.00035119983466793634
18513,489520,0.00035119983466793634
18691,98465,8.491608426749366e-05
18691,446509,0.00013783480344868536
18691,671244,6.1533394396734535e-06
18691,766533,2.4613357758693814e-06
18691,771438,0.00021044420883683208
18828,78886,1.4354830129664207e-05
18828,80720,1.4354830129664207e-05
18828,137390,0.00012759849004145962
18828,260212,3.987452813795613e-05
18828,482677,1.4354830129664207e-05
18828,564726,9.569886753109472e-06
18828,567570,1.4354830129664207e-05
18828,789340,3.1899622510364905e-06
18828,831215,2.711467913381017e-05
18828,895443,4.465947151451087e-05
18828,899530,0.00013238343341801437
18862,617196,0.00044180977176855394
19029,771438,0.00036853400474352546
19029,988638,7.327576702502846e-05
19133,136871,7.225860753224013e-06
19133,144847,2.167758225967204e-05
19133,346336,7.329087335412928e-05
19133,685647,2.219371517061661e-05
19133,754032,0.00031742174023091196
19392,3595,0.00031742174023091196
19392,19701,1.7601982938986213e-05
19392,34988,3.8724362465769675e-06
19392,44906,4.576515564136415e-06
19392,46527,2.1122379526783454e-06
19392,139026,7.780076459031906e-05
19392,154530,5.984674199255312e-06
19392,188190,3.5203965877972427e-07
19392,199995,1.3025467374849796e-05
19392,219483,1.2321388057290348e-05
19392,346336,4.998963154672085e-05
19392,357406,3.872436246576967e-05
19392,423305,8.096912151933658e-06
19392,531986,8.378543878957438e-05
19392,572737,7.392832834374209e-06
19392,577627,5.245390915817891e-05
19392,633181,5.280594881695864e-06
19392,751604,4.576515564136415e-06
19392,755156,2.4994815773360425e-05
19392,798606,1.4785665668748418e-05
19392,806829,1.4081586351188971e-05
19831,680476,0.000311865721248391
19831,781370,0.00012994405052016292
19953,341422,0.00012994405052016292
19953,591104,0.00012994405052016292
19953,607283,0.00012994405052016292
19953,688804,0.00012994405052016292
20028,675495,0.00012994405052016292
20729,120010,1.9745688123734255e-05
20729,163420,1.9745688123734255e-05
20729,206407,8.638738554133737e-05
20729,475334,1.234105507733391e-05
20729,479350,1.9745688123734255e-05
20729,486047,3.702316523200173e-05
20729,604075,1.234105507733391e-05
20729,786613,8.391917452587058e-05
20729,796045,5.43006423402692e-05
20729,883318,9.62602296032045e-05
20729,785380,9.62602296032045e-05
20729,1416172,9.62602296032045e-05
20812,69534,2.287688138607399e-05
20812,84209,0.00012725265271003658
20812,193320,4.003454242562948e-05
20812,222436,2.287688138607399e-05
20812,251595,1.000863560640737e-05
20812,260206,7.720947467799972e-05
20812,263937,2.573649155933324e-05
20812,297702,2.001727121281474e-05
20812,604852,9.579694080418484e-05
20919,680522,9.579694080418484e-05
20971,97529,8.748780561434124e-06
20971,226380,1.3998048898294599e-05
20971,423829,0.00027996097796589197
20971,680003,1.049853667372095e-05
20971,789775,2.6246341684302372e-05
20971,798326,2.4496585572015546e-05
20971,800100,2.2746829459728724e-05
20971,928942,6.299122004232569e-05
20971,961688,5.249268336860475e-06
21008,13384,1.286532600338804e-05
21008,117844,1.8959427794466588e-05
21008,200791,3.385612106154748e-05
21008,234325,3.1824753797854626e-05
21008,281254,2.031367263692849e-06
21008,393789,4.062734527385698e-06
21008,510805,6.771224212309495e-06
21008,549797,0.0001245905255064947
21008,583959,4.469007980124267e-05
21008,592954,1.489669326708089e-05
21008,681171,6.771224212309495e-07
21008,787960,6.771224212309495e-07
21008,816890,7.583771117786635e-05
21008,936206,2.0990795058159436e-05
21008,941579,2.843914169169988e-05
21008,96613,2.843914169169988e-05
21008,170369,2.843914169169988e-05
21008,177060,2.843914169169988e-05
21008,182900,2.843914169169988e-05
21008,211758,2.843914169169988e-05
21008,530745,2.843914169169988e-05
21008,612716,2.843914169169988e-05
21492,51376,3.373424365720486e-05
21492,76057,5.441007041484654e-05
21492,162233,3.264604224890792e-05
21492,167287,1.632302112445396e-05
21492,194703,4.026345210698644e-05
21492,325459,9.249711970523912e-05
21492,631774,0.0001719358225109151
21492,756656,0.0001719358225109151
21670,46794,1.2223985780157618e-05
21670,99246,7.85827657295847e-06
21670,162197,1.6589694987356767e-05
21670,169795,1.920912051167626e-05
21670,270491,0.00010128445360702027
21670,325459,7.421705652238554e-05
21670,345355,9.60456025583813e-06
21670,377581,1.7462836828796598e-06
21670,379125,0.00012922499253309482
21670,495338,1.4843411304477109e-05
