A,B,C,D,E,F,G,H,I,J,label
1.764759994,-0.680708949,0.12847101800000002,-0.00111394,-0.20471345100000002,-0.27857382,-0.12176445699999999,-0.142037479,-0.066357235,0.03870235,5
1.5918483509999999,0.417022282,0.616236323,0.008820956,-0.18732052800000001,-0.26392320199999997,0.037634559,0.014475298000000001,-0.020462372,-0.02003497,2
2.034687341,-0.503752776,0.617535005,-0.37103192399999996,-0.411636548,-0.113369111,0.11904172,-0.147944586,0.019610675,0.107553232,5
1.3834815169999999,0.141497347,0.160287727,0.046297755,0.070307775,0.063918306,-0.107408904,-0.093960925,0.038896567,-0.006981954,0
0.6856601940000001,0.39350488899999997,-0.091505455,-0.15726689800000002,0.234305819,-0.024218382000000004,-0.10472507199999999,0.082770943,-0.006671534000000001,0.019539661,0
1.052281091,0.153282871,-0.038352186,-0.39872351899999997,0.03884634,-0.417972405,-0.062468135999999994,0.07338875,0.024871625,0.001260222,0
1.676274575,0.18486902,0.081680575,-0.065538458,-0.156821494,-0.375915195,-0.108008908,0.035966686,-0.09173650800000001,-0.041178902,0
2.170773816,-1.365141093,1.004195173,-0.330931281,-0.172142355,0.396133634,-0.24589861,0.024749752000000003,0.000709553,0.040107499,15
1.6232718419999999,-0.497369296,0.211011615,-0.016203899,0.06666391099999999,0.509377813,-0.138332441,-0.09380029,-0.005815789,0.027649358,3
1.892507418,-0.584299485,0.38275024799999996,-0.0331966,-0.17040345,-0.123954069,-0.055708437,-0.177702372,-0.055414479,0.070535763,5
1.971586324,-0.5891626529999999,0.22399425,-0.41631542899999996,-0.337767386,-0.321734815,-0.019103946,-0.10913385099999999,-0.02312846,0.045941008,5
0.662341471,0.06448160900000001,0.201054803,0.19299018,0.25966232100000003,-0.098056738,-0.040813136,-0.064570223,-0.053285314,-0.033091299,0
2.090756091,-0.431843786,1.53969845,-1.06945715,0.22185123699999998,0.106565414,-0.003204784,-0.02008198,0.019373525,0.105837956,11
2.09821379,-0.578209578,0.333018672,-0.49430914299999995,-0.36330276200000006,-0.051641886,-0.510736529,0.44731559600000004,-0.080038212,-0.11038778,15
0.90281467,0.351973751,-0.216759385,0.076547986,-0.10669121,-0.30541016,-0.09761336300000001,0.034748662,-0.023472312000000002,0.00041021199999999997,0
0.945210274,0.138074684,-0.244589607,-0.22037841100000002,0.006282389,0.057576515999999994,-0.02698999,0.028871002000000003,0.043588222999999995,-0.042454244,0
0.396340485,0.17675579600000002,-0.06690595,0.236661757,0.314202468,0.219561767,-0.254267282,-0.006020269,-0.078985743,-0.02407571,0
0.318491702,0.741626736,0.661125782,0.47538073700000005,-0.314327332,0.259563576,0.021385271,-0.030381022999999997,0.028072478999999997,0.019542457,6
1.7655596080000002,-0.249865417,0.152629563,0.062056703,-0.067528438,-0.050589012,-0.131035284,-0.11039878300000001,-0.041473775,0.005583161,5
0.888693093,0.13678357300000002,-0.309523779,-0.054365461,0.19043592899999998,0.107992385,-0.059794389,-0.113189249,0.048092273,-0.019552292,0
0.887482683,0.217627884,-0.022487436,-0.079059017,-0.011114105,0.068436837,-0.040083031,-0.057195626,-0.056551379000000006,-0.058805027999999995,1
1.092062568,0.25389356399999996,-0.061181572000000004,-0.184598288,0.071756308,0.012674583,-0.080664155,0.044737577,-0.04265964,-0.011635403,1
1.9903960809999999,-1.2549721329999999,1.019582591,0.06630821099999999,0.22433910899999998,0.286188449,-0.173770249,0.07148186299999999,-0.048549435999999994,-0.042514300000000005,15
0.415865153,0.188201018,0.144271998,-0.022809543999999998,0.368634456,-0.044802892999999996,-0.074937664,-0.037831083,0.013922796999999999,-0.035813579,0
1.5103454530000002,-0.098847285,-0.087871401,-0.11911384,-0.14646220599999998,-0.181651392,0.066723013,-0.033753257,0.010843308000000001,-0.030092063,2
1.1392650990000002,0.148128092,-0.159486563,-0.166861814,0.10098980199999999,0.372994117,-0.11066987800000001,-0.035877196,0.010189862,-0.025180904,0
1.6394967230000002,-0.388001429,0.169893746,-0.031039939,0.19030541,0.549407955,-0.145124468,-0.14785192,-0.000682148,0.031446935,3
1.868010212,-0.524324595,0.42159680299999996,-0.12250428099999999,0.003721607,0.298971595,0.049161763,0.174936767,0.075702568,0.067455852,3
1.4101212969999999,0.022145365,-0.259034605,-0.11553030800000001,-0.12265033,-0.27117435300000003,-0.12086579900000001,-0.08959237,-0.059579493,0.137795061,7
2.100159432,-0.959123968,0.45306494399999997,-0.426198203,-0.39753304899999997,0.09715443300000001,0.088909035,0.36696599799999996,0.049001471,0.000911314,3
-2.046393456,-0.09683834699999999,0.348412629,0.510866594,0.496633751,0.27341052600000004,-0.200459379,-0.013395448999999999,-0.042662367,0.031031242999999997,0
-0.17342978899999997,-0.032075082000000005,-0.267953587,0.037941437,0.28650029899999996,0.020246303,-0.10641624,-0.008579981,0.016217996000000002,-0.043936065,0
0.552265427,0.227904722,-0.068703186,0.13281508,0.073780319,-0.007827999,-0.122903145,-0.010778399999999999,-0.010447846,-0.0544668,0
