follower_id,Same,total_people
335,False,44
335,True,967
441,False,10
441,True,592
1098,False,81
1098,True,2629
1113,True,74
1433,True,253
1498,True,59
1611,False,1
2252,False,8
2273,False,13
2273,True,21
2330,False,1064
2330,True,8
2411,False,1271
3170,True,44
3426,True,40
3595,False,625
3595,True,6
3627,True,156
3669,False,133
3669,True,264
3829,False,62
4451,True,117
4852,False,247
4852,True,9
5307,False,53
5307,True,875
5441,True,1211
5501,True,1483
5882,True,2421
5953,False,46
5953,True,2852
5980,False,403
5980,True,154
6143,False,21
6143,True,188
6232,True,9
6310,True,735
6320,False,36
6320,True,1087
6334,False,182
6334,True,372
6563,True,28
6613,False,220
6855,True,12
7230,False,84
7230,True,1290
7305,False,8
7305,True,13
7448,True,428
7689,True,440
7729,False,8
7729,True,329
7731,True,941
7920,True,1811
8125,False,42
8125,True,454
8245,False,20
8245,True,30
8549,False,112
8549,True,1890
8828,False,205
8828,True,256
9084,False,59
9084,True,1081
9218,False,12
9218,True,12
9441,True,129
9680,False,12
9680,True,170
10412,False,202
10412,True,750
10538,False,344
10538,True,594
10982,True,1066
11046,True,121
11242,False,20
11242,True,4
11707,False,302
11707,True,1120
11754,False,128
11754,True,157
11910,False,208
11910,True,66
12128,False,23
12128,True,118
12180,True,338
12472,False,146
12472,True,1362
12491,False,53
12491,True,77
12644,False,2
12644,True,69
12654,False,940
12654,True,27
12877,True,389
13377,True,37
13384,False,283
13384,True,284
13387,False,46
13387,True,1039
13393,True,574
13508,True,2225
13511,False,141
14073,False,4
14201,False,395
14201,True,12
14263,False,22
14263,True,289
14651,False,44
14651,True,348
14724,False,16
14724,True,63
15158,True,313
15318,False,146
15318,True,559
15694,True,2053
16132,True,481
16186,False,52
16186,True,121
16281,False,54
16281,True,922
16438,True,986
16574,False,215
16574,True,32
16835,True,122
16944,True,214
17387,True,267
17748,False,59
17748,True,288
17877,False,615
17877,True,1219
17929,False,214
17929,True,40
17937,False,31
17937,True,32
18137,True,149
18176,True,6
18258,False,10
18258,True,569
18977,False,224
18977,True,876
19241,False,50
19241,True,453
19297,False,37
19297,True,1612
19435,True,44
19701,False,130
19701,True,1510
19740,True,22
19892,True,1729
20050,False,609
20050,True,1198
20278,False,45
20278,True,664
20319,False,44
20403,False,53
20403,True,54
20740,False,8
20740,True,167
20760,False,619
20760,True,362
20862,False,21
20862,True,1038
20984,False,11
21009,False,14
21009,True,1101
21292,False,56
21292,True,42
21334,True,186
21578,True,1060
21744,False,22
21744,True,2123
21747,False,11
21747,True,349
22124,True,1060
22257,False,52
22257,True,230
22348,False,343
22348,True,831
22875,True,15
22928,False,239
22928,True,1653
24568,False,389
24568,True,10
24944,False,340
24944,True,2
25394,False,108
25462,False,554
25778,True,202
25857,False,14
25899,False,7
26023,True,1318
26164,True,957
26193,False,9
26193,True,341
26367,True,876
26510,False,823
26510,True,340
26520,False,341
26520,True,859
26825,True,326
26952,False,515
26952,True,17
27136,False,152
27136,True,18
27916,False,630
27916,True,97
28002,True,251
28166,True,486
28316,False,73
28432,False,152
28432,True,373
28692,True,8
28772,False,41
28772,True,1005
29067,False,308
29067,True,934
29334,True,292
29604,True,149
29791,False,904
29791,True,1291
29808,True,1112
29867,False,68
29867,True,261
29884,False,318
29884,True,692
29909,False,258
29909,True,386
29978,True,1856
30431,True,691
30925,False,324
30925,True,191
30928,False,31
30928,True,325
31022,True,708
31067,False,269
31067,True,347
31263,False,136
31263,True,31
31274,True,1038
31324,True,466
31380,False,258
31380,True,86
31442,False,95
31442,True,165
31556,True,2181
31606,False,36
31606,True,962
31685,False,225
31685,True,1253
32071,True,4
32193,True,50
32366,False,61
32366,True,131
32401,True,264
32433,False,208
32433,True,780
32807,True,207
32971,False,204
32971,True,1188
33161,False,800
33161,True,516
33560,True,365
33580,True,54
33666,True,1483
34094,False,9
34094,True,689
34172,True,455
34249,False,1173
34249,True,734
34617,True,241
34899,False,166
34899,True,298
34988,True,416
35021,False,57
35021,True,67
35076,False,28
35076,True,527
35338,False,36
35338,True,730
35464,False,362
35464,True,35
35587,True,338
35697,False,5
35697,True,19
35719,True,1930
35864,True,20
36106,True,1
36310,True,631
36468,False,212
36468,True,313
36521,True,2321
36645,True,477
36934,True,32
36987,False,207
36987,True,332
37658,False,8
37658,True,34
37730,True,2688
37794,False,2
37794,True,12
37865,True,21
38061,True,871
38302,False,484
38302,True,1023
38466,False,85
38466,True,198
38490,False,571
38490,True,995
38579,False,151
38579,True,555
38805,False,29
38805,True,824
38936,False,118
38936,True,1593
38977,False,137
38977,True,568
39013,True,532
39258,True,1096
39656,True,381
39661,True,19
40225,False,280
40225,True,312
40230,False,30
40230,True,573
40294,True,312
40501,False,218
40501,True,4
40743,True,1447
40922,True,342
41420,False,77
41431,True,53
41874,False,97
41874,True,988
41899,False,15
41899,True,1482
42234,False,633
42589,False,148
42589,True,1080
42993,False,49
42993,True,1293
43444,True,29
43520,False,222
43520,True,262
43572,True,22
43714,False,280
43714,True,1652
44068,False,15
44068,True,36
44290,True,207
44703,False,181
44703,True,14
44751,False,630
44751,True,395
44764,False,206
44764,True,1309
44776,False,33
44776,True,118
44906,True,863
44994,False,53
44994,True,204
45057,True,129
45077,False,29
45077,True,170
45313,False,755
45313,True,14
45475,False,13
45475,True,975
45560,False,195
45560,True,1135
46120,True,1524
46184,True,35
46345,False,3
46381,False,12
46381,True,398
46460,False,205
46460,True,247
46527,False,30
46527,True,432
46699,False,577
46699,True,178
46727,True,389
46784,False,276
46784,True,47
46794,False,395
46794,True,1260
46814,False,18
46814,True,233
46861,False,227
46925,False,541
46925,True,183
47033,False,346
47033,True,1676
47134,False,75
47134,True,236
47246,True,14
47421,True,292
47789,True,1042
48123,True,152
48265,True,413
48566,False,14
48566,True,2306
48587,False,108
48587,True,152
48806,False,8
48816,False,10
48816,True,149
48908,True,271
49026,False,17
49026,True,377
49062,True,395
49180,False,9
49180,True,26
49367,False,375
49367,True,221
49374,False,29
49374,True,1002
49774,True,226
49797,False,113
49797,True,1531
50034,False,105
50034,True,318
50251,True,2694
50493,True,760
50581,True,11
51066,False,101
51066,True,40
51233,True,91
51376,False,173
51376,True,1802
51736,False,65
51736,True,30
51909,False,176
51909,True,1037
51992,True,2597
52062,True,9
52093,False,48
52093,True,1263
52151,True,205
52382,False,200
52382,True,1146
52900,False,1296
52900,True,82
53739,False,244
53739,True,116
55128,False,589
55304,False,56
57124,False,909
57124,True,197
57188,True,29
57209,False,70
57209,True,249
57280,False,127
57280,True,362
57488,True,35
57497,True,30
57840,False,365
57840,True,221
58360,True,33
58361,True,5
58372,False,287
58372,True,1141
58386,True,1592
58438,False,626
58438,True,263
58549,False,313
58549,True,2652
58934,False,6
58934,True,532
59156,False,153
59156,True,258
59293,False,169
59293,True,1440
59503,True,48
59537,False,154
59537,True,872
59655,False,53
59655,True,79
59758,True,383
59819,False,79
59819,True,524
61044,True,656
61172,False,108
61172,True,2565
61226,False,653
61226,True,1021
61273,False,12
61273,True,39
61479,False,56
61479,True,83
61480,True,1614
61534,True,577
61637,True,930
61938,True,2613
62002,True,820
62270,False,14
62729,True,5
62823,True,1028
62860,False,5
62860,True,1712
64145,False,91
64145,True,37
64199,True,325
64303,False,21
64303,True,1142
64509,False,31
64509,True,340
64817,True,8
64954,False,14
65397,False,163
65397,True,194
65590,True,2525
65882,True,229
66228,False,53
66395,True,86
66429,False,166
66429,True,531
66570,True,375
66800,True,63
66869,True,1157
66915,False,868
66915,True,519
67406,False,21
67406,True,18
67528,False,276
67631,False,1262
67631,True,137
68155,True,2
68551,False,192
68551,True,816
68738,True,946
68780,True,67
68896,True,27
68934,False,32
68934,True,123
69060,True,418
69153,False,1019
69153,True,299
69348,True,152
69402,False,30
69534,True,1308
69761,True,25
69986,False,205
69986,True,488
70027,False,29
70027,True,62
70534,False,255
70534,True,5
70715,False,287
70715,True,420
70800,False,5
70800,True,1241
71209,False,572
71209,True,599
71336,False,24
71336,True,40
71970,False,467
71970,True,186
72041,False,621
72041,True,2008
72205,False,96
72205,True,474
72716,False,52
72716,True,51
73383,True,582
73421,True,1424
73644,False,85
73644,True,88
73682,False,9
73682,True,337
73914,False,21
73914,True,67
74134,True,182
74195,False,145
74195,True,166
74340,True,35
74397,False,243
74397,True,300
74452,True,132
74853,False,406
74853,True,142
75100,False,295
75100,True,1097
75171,False,56
75264,False,160
75264,True,1034
75295,False,511
75295,True,19
75329,False,90
75394,False,117
75394,True,136
75591,False,43
75591,True,390
75747,False,220
