year,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,duration_ms,popularity
1936,0.31049999999999994,0.2437857142857143,0.25349999999999995,87.62457142857143,-14.043642857142856,0.9863571428571429,0.3046321428571429,0.04962142857142858,174314.2857142857,5.357142857142857
1939,0.318375,0.25275,0.232275,87.45949999999999,-12.248875,0.989,0.23576526875,0.040874999999999995,178563.5,0.75
1941,0.415,0.27899999999999997,0.16399999999999998,174.61900000000003,-8.762,0.925,1.91e-06,0.0672,277093.0,6.0
1942,0.6579999999999999,0.28800000000000003,0.765,97.912,-12.243,0.993,0.435,0.899,204613.0,0.0
1944,0.33475,0.275435,0.36425,109.14075,-17.608249999999998,0.98575,0.884,0.052099999999999994,187404.0,0.25
1945,0.6644,0.545,0.8416,126.17040000000001,-6.8950000000000005,0.8542,0.368,0.09123999999999999,157103.8,0.0
1947,0.595375,0.422125,0.658125,116.80837500000001,-14.349750000000002,0.5617500000000001,0.13530625,0.0507875,276097.625,24.5
1948,0.385,0.7759999999999999,0.741,86.98299999999999,-10.115,0.7340000000000001,0.0921,0.0745,189827.0,0.0
1949,0.53,0.366,0.813,109.241,-10.08,0.8420000000000001,1.29e-05,0.0407,168573.0,0.0
1951,0.721,0.336,0.937,66.61399999999999,-7.852,0.993,0.515,0.243,189132.0,0.0
1952,0.7315,0.3295,0.697,107.44399999999999,-7.968499999999999,0.9844999999999999,0.000247,0.14425,185504.5,0.0
1953,0.5102,0.4004,0.6258,123.94539999999999,-11.929,0.7798,0.536,0.08532,205558.8,2.8
1954,0.5058181818181817,0.435,0.7417272727272729,108.24354545454544,-9.851545454545452,0.867909090909091,0.043585981818181824,0.08169090909090909,195317.18181818182,15.545454545454545
1955,0.4105294117647059,0.3309235294117648,0.42770588235294116,120.64647058823527,-12.094176470588238,0.8004705882352942,0.21892303,0.03976470588235293,198829.88235294117,7.0588235294117645
1956,0.4543913043478261,0.33367826086956526,0.5795652173913044,109.2494347826087,-12.191652173913042,0.8532608695652172,0.012907010869565217,0.03823478260869566,165856.1739130435,15.130434782608695
1957,0.5370909090909092,0.2861818181818182,0.5660000000000001,121.89599999999997,-12.548454545454547,0.7910909090909091,0.1224615590909091,0.04352727272727272,155396.45454545456,15.727272727272727
1958,0.55684,0.45115999999999984,0.6523200000000001,114.81991999999998,-11.69336,0.7336800000000001,0.0381286516,0.05890000000000001,149965.56,15.08
1959,0.46355,0.35599500000000006,0.5541849999999999,108.38789999999999,-14.525900000000002,0.7550499999999999,0.16144035249999997,0.04326,155608.55,20.0
1960,0.557913043478261,0.3573,0.6242521739130433,110.50152173913041,-12.022434782608697,0.789695652173913,0.2952315434782609,0.0816913043478261,194841.86956521738,16.130434782608695
1961,0.5318571428571428,0.2650785714285714,0.557,112.57042857142854,-14.84735714285714,0.7389,0.13356789142857142,0.04286428571428571,189740.7857142857,15.071428571428571
1962,0.5325909090909092,0.2851909090909091,0.5135000000000001,117.90640909090908,-14.471727272727271,0.8592727272727271,0.16677729454545454,0.04643636363636364,158223.63636363635,17.545454545454547
1963,0.503421052631579,0.2986315789473684,0.5138421052631579,114.68584210526315,-14.497631578947368,0.7711052631578947,0.09585905368421052,0.040452631578947365,197230.84210526315,22.94736842105263
1964,0.4897777777777777,0.3408333333333333,0.5785555555555555,143.3707777777778,-10.484000000000002,0.8544444444444445,0.0005948488888888889,0.052233333333333326,189965.0,23.333333333333332
1965,0.5497500000000001,0.5001785714285715,0.648357142857143,118.20967857142855,-10.656285714285715,0.5187821428571427,0.023810153928571432,0.05764999999999999,167078.89285714287,25.678571428571427
1966,0.5772692307692308,0.39129615384615385,0.5319615384615385,111.67826923076922,-13.252461538461539,0.5738538461538462,0.11592512769230769,0.059976923076923074,153406.11538461538,30.23076923076923
1967,0.47906249999999995,0.39301875000000003,0.539875,119.839875,-13.5689375,0.580325,0.128268775,0.03589375,201736.5625,34.25
1968,0.5637500000000001,0.40332142857142866,0.5699642857142858,119.93475000000001,-13.822000000000001,0.6696785714285713,0.032017578928571426,0.0856892857142857,178195.2142857143,34.785714285714285
1969,0.5578888888888888,0.6054999999999999,0.661211111111111,122.42755555555556,-10.609000000000002,0.39806894444444446,0.02306822888888889,0.07467777777777777,304998.5,32.72222222222222
1970,0.5455263157894737,0.4392105263157896,0.6378947368421052,114.42736842105265,-13.318473684210524,0.5290842105263158,0.023889245789473688,0.04152105263157895,205576.31578947368,32.421052631578945
1971,0.4504250000000001,0.4930795454545455,0.509768181818182,119.51493181818186,-13.02256818181818,0.3893759318181819,0.12903063386363633,0.0614659090909091,298570.8181818182,35.81818181818182
1972,0.5261714285714285,0.5497714285714285,0.5731200000000001,120.60008571428571,-10.618314285714288,0.49180825714285714,0.017683331428571432,0.06631142857142859,241250.22857142857,31.37142857142857
1973,0.4549411764705882,0.5229411764705881,0.4762941176470589,130.4070588235294,-11.802941176470592,0.5072176470588236,0.05537270588235294,0.05775882352941177,329765.64705882355,32.35294117647059
1974,0.4928,0.438075,0.5307499999999999,109.73319999999998,-14.233500000000001,0.5353749,0.069124401,0.056975,266918.0,25.85
1975,0.5028095238095238,0.4841380952380951,0.48038095238095235,124.83590476190477,-11.997619047619049,0.5578857142857142,0.006325794761904762,0.055161904761904745,293566.1904761905,29.571428571428573
1976,0.5343571428571428,0.4597142857142857,0.6209285714285714,123.46278571428573,-12.699499999999999,0.4490214285714286,0.032643735,0.04435,217427.64285714287,31.5
1977,0.48118749999999993,0.5062562500000001,0.516875,119.837125,-14.250687500000002,0.28424875000000005,0.10894179125,0.050693749999999996,277151.5,30.875
1978,0.48434999999999995,0.58825,0.564925,132.07760000000002,-9.82825,0.30628354999999996,0.042488324499999994,0.05586,250087.3,33.75
1979,0.6308888888888888,0.6851481481481483,0.7291481481481483,126.64281481481484,-10.290592592592596,0.11863774074074074,0.10133134518518519,0.07052222222222222,257263.92592592593,37.74074074074074
1980,0.598076923076923,0.5850769230769232,0.6692461538461539,117.43523076923076,-11.665692307692304,0.19308761538461539,0.007710568461538461,0.05299615384615383,240097.23076923078,34.42307692307692
1981,0.6118333333333333,0.5051583333333333,0.5300416666666666,123.80883333333331,-12.020208333333331,0.2561929166666667,0.09395401125000001,0.04470833333333334,242693.375,33.916666666666664
1982,0.5708000000000001,0.6611666666666667,0.5817666666666667,122.63743333333333,-10.648633333333333,0.2101186333333333,0.15073774999999998,0.06232666666666667,293370.7,31.6
1983,0.6575652173913042,0.673391304347826,0.7028260869565218,120.34852173913046,-9.11960869565217,0.30848695652173913,0.04781037869565217,0.07280434782608695,245218.0,32.91304347826087
1984,0.5536083333333334,0.5581494444444446,0.501738888888889,114.34094444444446,-12.249277777777781,0.2722220527777777,0.20913573583333336,0.05651944444444444,263573.3333333333,36.30555555555556
1985,0.5499354838709678,0.7374193548387098,0.5525806451612904,118.04974193548388,-8.897677419354839,0.19135812903225807,0.07301785096774195,0.055951612903225804,255208.48387096773,40.03225806451613
1986,0.5398684210526316,0.5458631578947366,0.531971052631579,120.46597368421054,-11.482736842105265,0.3880217631578948,0.18110991526315792,0.03304473684210527,218484.07894736843,33.526315789473685
1987,0.5193333333333332,0.5960233333333335,0.46176999999999996,120.71083333333333,-10.405399999999998,0.2859602666666667,0.22210177099999998,0.06842666666666666,222486.23333333334,37.266666666666666
1988,0.6066153846153847,0.6927307692307694,0.6438461538461537,119.1435769230769,-10.817,0.1530517307692308,0.07955995846153846,0.04851923076923077,283991.6153846154,38.57692307692308
1989,0.5199,0.76655,0.5785250000000001,121.61479999999999,-8.548300000000001,0.18021047499999995,0.260507425,0.07446,252187.7,40.25
1990,0.5358888888888887,0.6934074074074074,0.5184074074074074,131.76762962962962,-10.20688888888889,0.19101012592592592,0.014498909259259255,0.056766666666666674,269916.0740740741,40.18518518518518
1991,0.5888499999999999,0.6028999999999998,0.66755,127.77639999999997,-11.8228,0.204578075,0.121885308,0.046865000000000004,260983.2,44.8
1992,0.54025,0.7297312499999998,0.6186750000000001,126.17618750000001,-9.340625,0.13920201875000002,0.23010770500000005,0.04023124999999999,264795.875,41.1875
1993,0.4627666666666666,0.40355999999999986,0.35798333333333326,117.49246666666667,-13.778900000000002,0.496534661,0.48485292733333335,0.037899999999999996,278169.93333333335,39.4
1994,0.38166666666666665,0.5628333333333333,0.27496666666666664,132.88308333333336,-11.413916666666667,0.4875958333333334,0.34372158333333336,0.044925,376121.25,41.833333333333336
1995,0.5375,0.7040624999999999,0.47799999999999987,114.30793749999998,-7.4973125000000005,0.15844903124999998,0.148185389375,0.05436875,280580.0625,47.5
1996,0.5984615384615384,0.6193076923076922,0.5389999999999999,117.46492307692304,-8.484461538461538,0.21654083076923075,0.05314842307692309,0.04893076923076923,259187.6923076923,46.07692307692308
1997,0.6021875,0.70591875,0.5280625,114.79324999999999,-7.466000000000001,0.26757223125000007,0.08010909562499999,0.07528125,262057.9375,45.25
1998,0.5423636363636365,0.463,0.5164545454545455,129.91136363636363,-10.011818181818182,0.5260181818181818,0.022713614545454543,0.039145454545454546,246421.81818181818,42.36363636363637
1999,0.5315357142857143,0.6636035714285713,0.5124,119.64471428571429,-6.913321428571429,0.2513643000000001,0.11304500821428574,0.06540714285714286,248931.39285714287,52.5
2000,0.5766521739130435,0.6662608695652175,0.516504347826087,120.89847826086957,-7.366434782608695,0.374399,0.014067619999999998,0.06588260869565216,244712.4347826087,43.73913043478261
