start,end,score
3637248,5882,0.24968152866242038
3637248,66915,0.24968152866242038
3637248,75747,0.25095541401273885
3637248,754032,0.24968152866242038
294923,69153,0.054990166390909374
294923,102050,0.054990166390909374
294923,231645,0.054708165537622665
294923,266160,0.05442616468433594
294923,517264,0.05527216724419609
294923,528221,0.054990166390909374
294923,536754,0.05442616468433594
294923,888730,0.054708165537622665
294923,66915,0.09382078425854654
294923,121590,0.09334210678783966
294923,394806,0.09382078425854654
294923,691807,0.09334210678783966
294923,834466,0.09382078425854654
294923,855531,0.09334210678783966
622604,71970,0.20040899795501022
622604,128099,0.19938650306748465
622604,129775,0.20040899795501022
622604,351842,0.20040899795501022
622604,390390,0.19938650306748465
753685,307461,0.26843895085198227
753685,346336,0.26981556085635144
753685,754032,0.26981556085635144
753685,9680,0.023914197766506787
753685,175553,0.023914197766506787
753685,411761,0.024037466827158887
753685,423829,0.023914197766506787
753685,484396,0.024037466827158887
753685,567325,0.024037466827158887
753685,750519,0.024160735887810984
753685,928942,0.023914197766506787
3145761,94126,0.2702666796753508
3145761,496487,0.2689016964446672
3145761,748222,0.2689016964446672
3145761,378288,0.19192992743531478
32807,3829,0.14180749448934607
32807,59156,0.14254224834680382
32807,150062,0.14327700220426157
32807,242511,0.14327700220426157
32807,611102,0.14327700220426157
32807,617844,0.14327700220426157
32807,959770,0.14254224834680382
852007,180228,0.8080700725646852
852007,74970,0.03185079621239532
852007,184814,0.03201582624458389
852007,190946,0.032180856276772474
852007,198783,0.032180856276772474
852007,549797,0.03185079621239532
852007,848784,0.03185079621239532
393257,44068,0.33389544688026984
393257,325443,0.33220910623946037
393257,466759,0.33389544688026984
753706,6310,0.04016145307769929
753706,36468,0.04016145307769929
753706,61172,0.03975782038345106
753706,69534,0.039959636730575177
753706,139089,0.039959636730575177
753706,146490,0.04016145307769929
753706,154544,0.039959636730575177
753706,184043,0.04016145307769929
753706,193320,0.03975782038345106
753706,206407,0.03975782038345106
753706,243008,0.04016145307769929
753706,312354,0.039959636730575177
753706,357406,0.039959636730575177
753706,422405,0.03975782038345106
753706,472925,0.039959636730575177
753706,574772,0.03975782038345106
753706,610339,0.039959636730575177
753706,626463,0.04016145307769929
753706,636394,0.04016145307769929
753706,757342,0.04016145307769929
753706,758630,0.039959636730575177
753706,771905,0.04016145307769929
753706,790732,0.03975782038345106
753706,852688,0.04016145307769929
753706,855836,0.04016145307769929
491565,5882,0.5
491565,139026,0.5
3178543,761179,1.0
65590,5882,0.04337242752821421
65590,38490,0.04337242752821421
65590,41874,0.04337242752821421
65590,118327,0.04359371542376632
65590,137580,0.04359371542376632
65590,145128,0.04359371542376632
65590,228266,0.04337242752821421
65590,346336,0.04337242752821421
